Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-3,200,370,221,15273,1068.12,0.000%,12.41080,11.42,4.53,942.0
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-4,200,100,74,434,49.79,0.000%,12.53526,11.53,4.58,942.0
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-2,200,109,73,423,69.25,0.000%,12.43858,11.44,4.54,942.0
/submit/messaging-system/undesired-events/1/96e1348e-d00e-43cc-940b-6ac73b82ee75-7,200,884,381,15510,2341.61,0.000%,12.16323,9.79,14.62,824.6
/submit/messaging-system/undesired-events/1/73916a48-4a2c-428f-a59a-ad96e0a0b587-6,200,284,230,634,50.79,0.000%,12.27370,9.86,14.75,822.9
/submit/messaging-system/undesired-events/1/69d4535b-9393-4853-b607-1091145034b7-5,200,286,231,594,46.54,0.000%,12.28124,9.94,14.76,828.6
/submit/firefox-desktop/baseline/1/8ff6d4fd-3fed-4e3b-8fef-436f18f26a98-1,200,287,224,586,47.28,0.000%,12.33730,9.96,23.10,826.9
/submit/firefox-desktop/messaging-system/1/9cb08d07-e26d-41d0-bbcb-461c0c0b0aa1-8,200,282,221,569,37.43,0.000%,12.33730,9.97,22.47,827.8
/submit/firefox-desktop/messaging-system/1/dc742c0e-bc9c-4808-9aeb-1cd78d0ee0b7-9,200,283,229,667,50.21,0.000%,12.32590,9.92,21.98,824.2
/submit/firefox-desktop/messaging-system/1/a8ef6684-71d4-4530-bd45-bda0fd01df45-10,200,277,221,555,39.61,0.000%,12.23840,9.94,22.95,831.4
/vuce-zee-api-autorizacion/login/-11,200,985,119,18272,2194.84,0.000%,9.94481,43.71,5.38,4501.0
/submit/activity-stream/sessions/1/3451ed64-640a-4244-a4db-5e8babe46769-12,200,274,222,543,36.18,0.000%,9.90295,7.99,15.31,826.2
/submit/firefox-desktop/newtab/1/6b8c880f-726d-4933-9ad2-ac544dc14b4e-13,200,280,222,663,47.53,0.000%,9.88338,7.97,23.42,826.1
/vuce-zee-menu/assets/images/logo_vuce_header_login.svg-14,200,2060,83,127219,10128.68,0.000%,1.38764,70.84,0.90,52275.2
/vuce-zee-api-autorizacion/auth-15,200,5640,210,22679,3570.25,0.000%,1.35357,9.75,5.40,7379.4
